Denominazione,Provincia
Bonarda dell’Oltrepò Pavese,PV
Botticino,BS
Buttafuoco dell’Oltrepò Pavese o Buttafuoco,PV
Capriano del Colle,BS
Casteggio,PV
Cellatica,BS
Curtefranca,BS
Garda,BS
Garda Colli Mantovani,MN
Lambrusco Mantovano,MN
Lugana,MN
Oltrepò Pavese,PV
Oltrepò Pavese Pinot grigio,PV
Pinot nero dell’Oltrepò Pavese,PV
Riviera del Garda Classico,BS
San Colombano al Lambro o San Colombano,"MI, LO"
San Martino della Battaglia,BS
Sangue di Giuda dell’Oltrepò Pavese” o “Sangue di Giuda”,PV
Terre del Colleoni o Colleoni,BG
Valcalepio,BG
Valtellina Rosso o Rosso di Valtellina,SO
